id;name;important_info;jhi_usage;initial_count;promised;refill_info;pharmacy_notes
1;Horizontal Buckinghamshire Somalia;Sports Metal;sticky Outdoors;withdrawal Alaska;Assurance Senior;2020-01-13T04:43:30;transmit withdrawal Generic Metal Cheese
2;XSS;Ergonomic Wisconsin;Avon Tugrik;Ranch compressing Intelligent Cotton Shoes;deploy programming;2020-01-13T16:49:47;Brand
3;B2B;payment;interface;tertiary;Liberia back up;2020-01-12T21:04:11;Manors
4;Dynamic channels Mountains;e-enable e-enable;Horizontal;Chicken Home Loan Account Shirt;concept;2020-01-12T23:44:43;withdrawal
5;Cliff transition Corporate;plum;black;driver transmitting Home Loan Account;conglomeration transmitting;2020-01-13T14:21:37;Automated Planner Computers
6;Bedfordshire Web Diverse;Agent;Director mint green Car;EXE incremental expedite;transmit Profound;2020-01-13T14:46:36;Car
7;tertiary Massachusetts;initiatives;systemic Stravenue Bedfordshire;Chicken primary;circuit;2020-01-12T20:08:22;Suriname
8;indexing;payment connect;Chilean Peso Unidades de fomento;whiteboard grey embrace;Secured;2020-01-13T09:46:40;revolutionize integrate
9;neural hack;Auto Loan Account teal policy;Mississippi;Front-line;Designer Harbors;2020-01-13T17:00:22;hack
10;firmware Ball;pink neural;evolve;Way Wells navigate;virtual compressing Response;2020-01-13T09:51:12;Functionality
